V1 V2 pop country continent lang
Chipewyan29 2012 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan31 2156 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan33 2381 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan35 2382 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan37 2383 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan39 2384 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan41 2385 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan43 2387 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan45 2388 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan47 2389 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan49 2390 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan51 2391 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan53 2392 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan55 2393 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan57 2394 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan59 2395 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan61 2396 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan63 2397 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan65 2398 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan67 2399 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan69 2400 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan71 2455 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan73 2474 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan75 2511 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan77 2515 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan79 2520 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan81 2560 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan83 2006 811 Chipewyan Canada AMERICA Na-Dene
Chipewyan85 2800 811 Chipewyan Canada AMERICA Na-Dene
Cree87 2401 812 Cree Canada AMERICA Algic
Cree89 2402 812 Cree Canada AMERICA Algic
Cree91 2403 812 Cree Canada AMERICA Algic
Cree93 2404 812 Cree Canada AMERICA Algic
Cree95 2405 812 Cree Canada AMERICA Algic
Cree97 2406 812 Cree Canada AMERICA Algic
Cree99 2407 812 Cree Canada AMERICA Algic
Cree101 2408 812 Cree Canada AMERICA Algic
Cree103 2409 812 Cree Canada AMERICA Algic
Cree105 2410 812 Cree Canada AMERICA Algic
Cree107 2411 812 Cree Canada AMERICA Algic
Cree109 2412 812 Cree Canada AMERICA Algic
Cree111 2413 812 Cree Canada AMERICA Algic
Cree113 2414 812 Cree Canada AMERICA Algic
Cree115 2415 812 Cree Canada AMERICA Algic
Cree117 2416 812 Cree Canada AMERICA Algic
Cree119 2417 812 Cree Canada AMERICA Algic
Cree121 2418 812 Cree Canada AMERICA Algic
Ojibwa123 2421 813 Ojibwa Canada AMERICA Algic
Ojibwa125 2422 813 Ojibwa Canada AMERICA Algic
Ojibwa127 2423 813 Ojibwa Canada AMERICA Algic
Ojibwa129 2424 813 Ojibwa Canada AMERICA Algic
Ojibwa131 2425 813 Ojibwa Canada AMERICA Algic
Ojibwa133 2426 813 Ojibwa Canada AMERICA Algic
Ojibwa135 2427 813 Ojibwa Canada AMERICA Algic
Ojibwa137 2428 813 Ojibwa Canada AMERICA Algic
Ojibwa139 2429 813 Ojibwa Canada AMERICA Algic
Ojibwa141 2430 813 Ojibwa Canada AMERICA Algic
Ojibwa143 2431 813 Ojibwa Canada AMERICA Algic
Ojibwa145 2432 813 Ojibwa Canada AMERICA Algic
Ojibwa147 2433 813 Ojibwa Canada AMERICA Algic
Ojibwa149 2434 813 Ojibwa Canada AMERICA Algic
Ojibwa151 2435 813 Ojibwa Canada AMERICA Algic
Ojibwa153 2436 813 Ojibwa Canada AMERICA Algic
Ojibwa155 2437 813 Ojibwa Canada AMERICA Algic
Ojibwa157 2438 813 Ojibwa Canada AMERICA Algic
Ojibwa159 2439 813 Ojibwa Canada AMERICA Algic
Ojibwa161 2440 813 Ojibwa Canada AMERICA Algic
Kaqchikel163 2681 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel165 2686 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel167 2687 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel169 2688 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel171 2689 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel173 2690 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel175 2693 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel177 2694 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel179 2696 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel181 2697 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel183 2698 821 Kaqchikel Guatemala AMERICA Mayan
Kaqchikel185 2699 821 Kaqchikel Guatemala AMERICA Mayan
Mixtec187 2041 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec189 2042 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec191 2043 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec193 2044 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec195 2045 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec197 2046 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec199 2047 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec201 2048 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec203 2049 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec205 2050 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec207 2051 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec209 2052 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec211 2053 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec213 2054 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec215 2055 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec217 2056 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec219 2057 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec221 2058 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec223 2059 822 Mixtec Mexico AMERICA Oto-Manguean
Mixtec225 2060 822 Mixtec Mexico AMERICA Oto-Manguean
Mixe227 2061 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe229 2062 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe231 2063 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe233 2064 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe235 2065 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe237 2066 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe239 2067 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe241 2068 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe243 2069 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe245 2070 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe247 2071 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe249 2072 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe251 2073 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe253 2074 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe255 2075 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe257 2076 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe259 2077 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe261 2078 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe263 2079 823 Mixe Mexico AMERICA Mixe-Zoque
Mixe265 2080 823 Mixe Mexico AMERICA Mixe-Zoque
Zapotec267 2100 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec269 2081 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec271 2082 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec273 2083 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec275 2085 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec277 2086 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec279 2087 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec281 2088 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec283 2089 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec285 2090 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec287 2091 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec289 2092 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec291 2093 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec293 2094 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec295 2095 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec297 2096 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec299 2097 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec301 2098 824 Zapotec Mexico AMERICA Oto-Manguean
Zapotec303 2099 824 Zapotec Mexico AMERICA Oto-Manguean
Guaymi305 2010 831 Guaymi Panama AMERICA Chibchan
Guaymi307 2011 831 Guaymi Panama AMERICA Chibchan
Guaymi309 2013 831 Guaymi Panama AMERICA Chibchan
Guaymi311 2014 831 Guaymi Panama AMERICA Chibchan
